Station Name,Street Address,City,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,Geocode Status,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing
California State University - Northridge,18111 Nordhoff St,Northridge,91330,818-677-1200,Public,24 hours daily; parking permit required,,2,,,Non-Networked,GPS,34.248959,-118.523887,2002-01-15,J1772,COLLEGE_CAMPUS,Free
California State University - Northridge,18111 Nordhoff St,Northridge,91330,818-677-1200,Public,24 hours daily; parking permit required,,2,,,Non-Networked,GPS,34.241687,-118.528543,2002-01-15,J1772,COLLEGE_CAMPUS,Free; parking is $8 per day.
California State University - Northridge,18111 Nordhoff St,Northridge,91330,818-677-1200,Public,24 hours daily; parking permit required,,4,,,Non-Networked,GPS,34.236853,-118.532588,2002-01-15,J1772,COLLEGE_CAMPUS,Free
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,90731,310-732-7678,Public,8am-5pm daily,,4,,,Non-Networked,200-9,33.740758,-118.28192,2013-03-26,J1772,PARKING_LOT,Free
Sylmar Station,Village Way Dr,San Fernando,91342,866-816-7584,Public,,,4,,,EV Connect,GPS,34.293717,-118.449219,2019-04-01,J1772,,
Getty Center,1200 Getty Center Dr,Los Angeles,90049,310-440-7300,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,12,15,,,Non-Networked,200-9,34.077588,-118.474585,2013-07-01,J1772 NEMA520,PARKING_GARAGE,Free; parking fee
Los Angeles County - Arboretum,301 N Baldwin Ave,Arcadia,91007,323-267-2023,Public,24 hours daily,,3,,,POWERFLEX,GPS,34.145528,-118.050548,2014-06-01,J1772,MUNI_GOV,$0.30 per kWh; $0.45 per kWh from 4pm-9pm
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,91741,626-914-8200,Public,5am-2am daily,,3,,,Non-Networked,GPS,34.13556,-117.864,2002-04-30,J1772,MUNI_GOV,Free
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,90230,310-649-1776,Public,24 hours daily; guest use only,,2,,,Non-Networked,GPS,33.9826,-118.3966,2019-12-31,J1772,HOTEL,Free
Helms Bakery Building,8800 Venice Blvd,Los Angeles,90034,310-204-1865,Public,24 hours daily,,6,,,Non-Networked,200-9,34.029971,-118.385231,2017-04-25,J1772,PARKING_GARAGE,$1 per hour for first two hours; $3 per hour thereafter
Westfield MainPlace Mall,2800 N Main St,Santa Ana,92705,714-547-7800,Public,Business hours,,6,,,Non-Networked,GPS,33.777054,-117.870566,2002-05-30,J1772,SHOPPING_MALL,
California State University - Channel Islands,1 University Dr,Camarillo,93012,805-437-8400,Public,24 hours daily; parking pass required or day pass available for purchase,,5,,,Non-Networked,GPS,34.16657602,-119.0458547,2002-05-30,J1772,COLLEGE_CAMPUS,Free; $6.00 for parking day pass for non-permit holders
Brea Downtown Parking,101 S Brea Blvd,Brea,92821,714-990-7650,Public,Garage business hours; 4 hour parking limit,,4,,,Non-Networked,200-8,33.919899,-117.898618,2002-05-30,J1772,PARKING_GARAGE,Free
Home Depot,2745 Teller Rd,Newbury Park,91320,805-375-6680,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,4,2,,,Non-Networked,GPS,34.192178,-118.934793,2002-05-15,J1772 NEMA515,SHOPPING_CENTER,Free
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,93022,805-649-2233,Public - Call ahead,8am-5pm daily,,1,,,Non-Networked,GPS,34.418322,-119.3368,2002-05-30,J1772,PARK,$20 parking fee
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,91773,909-394-6271,Public,24 hours daily,,2,,,Non-Networked,GPS,34.105275,-117.809208,2002-05-30,J1772,PARKING_LOT,Free
City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,91101,626-744-7665,Public,24 hours daily; pay lot,,4,,,Non-Networked,GPS,34.147709,-118.136621,2002-05-30,J1772,PARKING_LOT,Free; parking fee
Ventura County Government Center,800 S Victoria Ave,Ventura,93009,,Public,8am-5pm daily,,3,,,Non-Networked,GPS,34.267352,-119.2124,2012-10-19,J1772,MUNI_GOV,
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,93003,805-645-1400,Public - Limited hours,8am-5pm daily,,3,,,Non-Networked,GPS,34.268756,-119.2154,2012-10-18,J1772,MUNI_GOV,Free
Pacific View Mall,3295 E Main St,Ventura,93003,805-642-5530,Public,24 hours daily,,2,,1 SP Inductive,Non-Networked,GPS,34.268,-119.2492,2002-05-30,J1772,SHOPPING_MALL,
University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,95616,530-752-8277,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,1,3,,,Non-Networked,GPS,38.539336,-121.732405,2004-06-01,J1772 NEMA520,COLLEGE_CAMPUS,Parking fee
Soquel & Front Garage,601 Front St,Santa Cruz,95061,831-420-5184,Public,24 hours daily,,5,,,Non-Networked,200-9,36.973393,-122.024849,1998-06-30,J1772,PARKING_GARAGE,Pay for garage' charging is free
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,95628,916-264-2700,Public,24 hours daily,,2,,,Non-Networked,GPS,38.66292,-121.2634,2004-06-01,J1772,PARKING_LOT,Free
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,95816,916-327-7072,Public,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,1,2,,,Non-Networked,200-9,38.57277,-121.467902,2004-05-30,J1772 NEMA520,COLLEGE_CAMPUS,Free
North Highlands Library,4235 Antelope Rd,Antelope,95843,916-264-2920,Public,24 hours daily,,1,,,Non-Networked,GPS,38.7042,-121.365,2019-08-01,J1772,LIBRARY,Free
University of California - Davis - Medical Center,4860 Y St,Sacramento,95817,800-282-3284,Public,24 hours daily,,2,,,Non-Networked,GPS,38.552483,-121.4487,2019-11-01,J1772,HOSPITAL,
City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Sacramento,95822,916-264-2700,Public,24 hours daily,,2,,,Non-Networked,GPS,38.524403,-121.5112,2013-02-11,J1772,LIBRARY,Free
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,95667,530-642-5383,Public,Lot business hours; overnight parking prohibited,,2,,,Non-Networked,GPS,38.73323,-120.78962,2004-05-30,J1772,MUNI_GOV,Free
City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,95687,707-449-5424,Public,24 hours daily,,1,,,Non-Networked,GPS,38.356027,-121.9628,2004-06-15,J1772,MUNI_GOV,Free
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,95688,707-449-5424,Public,24 hours daily,,4,,,Non-Networked,GPS,38.36557,-121.967,2004-06-15,J1772,REC_SPORTS_FACILITY,Free
City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,95688,707-449-5424,Public,24 hours daily,,2,,,Non-Networked,GPS,38.35172,-121.987,2004-06-15,J1772,TRAVEL_CENTER,Free
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,95688,707-449-5424,Public,24 hours daily,,2,,,Non-Networked,200-9,38.356907,-122.001886,2004-06-15,J1772,OFFICE_BLDG,Free
KUIC Radio - Parking Lot,500 Catherine St,Vacaville,95688,707-449-5424,Public,24 hours daily,,1,,1 SP Inductive,Non-Networked,GPS,38.355867,-121.9862,2004-06-15,J1772,PARKING_LOT,Free
City of Vacaville - City Hall,650 Merchant St,Vacaville,95688,,Public,Primarily government use,,7,,2 SP Inductive,Non-Networked,200-9,38.351758,-121.994475,2004-06-15,J1772,MUNI_GOV,Free
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,95621,916-725-2448,Public,24 hours daily,,4,,1 SP Inductive,Non-Networked,GPS,38.682605,-121.297614,2016-02-01,J1772,MUNI_GOV,Free
Pitt School Plaza,1440 Ary Ln,Dixon,95620,707-449-5424,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,1 SP Inductive  1 Tesla Conductive,Non-Networked,200-9,38.457369,-121.842567,2004-06-15,NEMA520,SHOPPING_CENTER,Free
El Dorado County Government Center,2850 Fairlane Ct,Placerville,95667,530-621-5300,Public,24 hours daily,,3,,,Non-Networked,GPS,38.72799,-120.828,2004-05-15,J1772,MUNI_GOV,Free
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,95762,530-642-5383,Public,24 hours daily,,2,,,Non-Networked,GPS,38.6476,-121.067,2012-05-01,J1772,MUNI_GOV,Free
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,95746,916-791-1189,Public,8am-10pm daily,,1,,,Non-Networked,GPS,38.74453,-121.17,1998-06-15,J1772,CONVENIENCE_STORE,Free
Carmichael Library,5605 Marconi Ave,Carmichael,95608,916-264-2700  916-264-2920,Public,24 hours daily,,1,,,Non-Networked,GPS,38.618066,-121.334337,2004-07-15,J1772,LIBRARY,Free
Rio Vista City Hall,1 Main St,Rio Vista,94571,707-374-6451,Public,24 hours daily,,1,,,Non-Networked,GPS,38.15485,-121.69,2006-08-15,J1772,MUNI_GOV,Free
Fairfield City Hall,1000 Webster St,Fairfield,94533,707-428-7414,Public,24 hours daily,,2,,,Non-Networked,200-8,38.25281,-122.044229,2012-08-27,J1772,MUNI_GOV,Free
Solano Community College,4000 Suisun Valley Rd,Fairfield,94534,707-449-5424,Public,24 hours daily,,3,,1 SP Inductive,Non-Networked,GPS,38.23723,-122.123,2005-07-15,J1772,COLLEGE_CAMPUS,Free
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,94590,707-449-5424,Public,24 hours daily,,,,2 SP Inductive  1 Avcon Conductive  1 Tesla Conductive,Non-Networked,200-8,38.105062,-122.265895,2005-07-15,,TRAVEL_CENTER,Free
Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,90045,310-646-2911,Public,24 hours daily; pay lot,,20,,,Non-Networked,GPS,33.944761,-118.399767,2011-02-15,J1772,AIRPORT,$2 service fee + $0.45 per kWh
City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,95482,707-467-5711,Public,24 hours daily,,1,,1 SP Inductive,Non-Networked,GPS,39.15,-123.2091,2008-11-30,J1772,PARKING_LOT,Free
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,95688,707-449-5424,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,1 SP Inductive,Non-Networked,200-9,38.368755,-121.961192,2008-12-15,J1772 NEMA515,SHOPPING_CENTER,Free
Placer County Community Development Resource Center,3091 County Center Dr,Auburn,95603,530-745-3197,Public - Credit card at all times,24 hours daily,,3,,,ChargePoint Network,GPS,38.9412492,-121.1054805,2008-11-30,J1772,MUNI_GOV,$1.50/hr
4th and G Plaza Public Parking Garage,817 4th St,Davis,95616,530-753-7730,Public,6am-2am daily,,2,,,Non-Networked,GPS,38.54643,-121.7388,2008-12-01,J1772,PARKING_GARAGE,Free
Davis Amtrak Station,840 2nd St,Davis,95616,,Public,24 hours daily,,2,,1 SP Inductive,Non-Networked,GPS,38.5443,-121.738,2008-12-01,J1772,PAY_LOT,Free
University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,95616,530-752-8277,Public,24 hours daily; pay lot; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,3,7,,,Non-Networked,GPS,38.544538,-121.749713,2008-12-01,J1772 NEMA520,COLLEGE_CAMPUS,Parking fee
University Covenant Church,315 Mace Blvd,Davis,95618,530-756-3923,Public,24 hours daily,,1,,,Non-Networked,GPS,38.55755,-121.6947,2008-12-01,J1772,PLACE_OF_WORSHIP,Free
Lakewood Center Mall,4500 Silva St,Lakewood,90712,562-531-6707,Public,Mall business hours,,2,,,Non-Networked,GPS,33.84788,-118.13889,2012-10-25,J1772,SHOPPING_MALL,Free
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,94939,415-925-5570,Public,24 hours daily; pay lot,,1,,1 SP Inductive,Non-Networked,GPS,37.94495,-122.5096,2008-12-31,J1772,PARKING_LOT,$2 parking fee
Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,94621,510-563-3361,Public,24 hours daily; pay lot,,2,,,Non-Networked,GPS,37.7136,-122.2087,2012-12-20,J1772,AIRPORT,Free
Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,94533,707-434-3800,Public,24 hours daily,,2,,2 Tesla Conductive,Non-Networked,GPS,38.2482,-122.0678,2009-05-01,J1772,TRAVEL_CENTER,Free
Home Depot,1551 Froom Ranch Way,San Luis Obispo,93405,805-596-0857,Public,24 hours daily,,2,,,Non-Networked,200-9,35.249929,-120.689683,2000-04-15,J1772,SHOPPING_CENTER,Free
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,93401,805-545-7556  805-542-9004,Public,24 hours daily,,4,,,Non-Networked,GPS,35.25982,-120.676,2000-04-15,J1772,SHOPPING_CENTER,Free
Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,90401,310-394-6744,Public - Call ahead,Dealership business hours; priority for customer use,,3,,,Non-Networked,200-9,34.019875,-118.49151,2010-11-15,J1772,CAR_DEALER,
Beach & Hyde Garage,655 Beach St,San Francisco,94109,415-447-0232,Public,24 hours daily; pay lot,,5,,,Non-Networked,200-8,37.806798,-122.419488,2011-02-01,J1772,PAY_GARAGE,Free
City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,90401,310-458-8516,Public,24 hours daily; pay lot,,12,2,,Non-Networked,GPS,34.010528,-118.4898,2010-11-15,CHADEMO J1772,MUNI_GOV,Free
Super 8 - Ukiah,693 S Orchard Ave,Ukiah,95482,707-468-8181,Public - Call ahead,24 hours daily; guests may request use of the chargers when making hotel reservations,,1,,,Non-Networked,GPS,39.1458,-123.198497,2011-05-15,J1772,HOTEL,$10 per session
Antioch Nissan,1831 Auto Center Dr,Antioch,94509,925-755-2600,Public - Call ahead,Dealership business hours,,1,1,,Non-Networked,200-9,38.007799,-121.832042,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Nissan of Bakersfield,2800 Pacheco Rd,Bakersfield,93313,661-835-8600,Public - Call ahead,Dealership business hours,,3,1,,Non-Networked,200-9,35.310723,-119.035324,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Buena Park Nissan,6501 Auto Center Dr,Buena Park,90621,714-739-0800,Public - Call ahead,Dealership business hours,,3,1,,Non-Networked,200-9,33.865497,-117.995215,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Carson Nissan,1505 E 223rd St,Carson,90745,310-221-5119,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,200-9,33.824968,-118.245675,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Palm Springs Nissan,68177 Kyle Rd,Cathedral City,92234,760-328-2828,Public - Call ahead,Dealership business hours,,1,1,,Non-Networked,GPS,33.78414,-116.471,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
Cerritos Nissan,18707 Studebaker Rd,Cerritos,90703,562-402-2277,Public - Call ahead,Dealership business hours,,1,1,,Non-Networked,200-9,33.861544,-118.100471,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Chico Nissan,575 Manzanita Ave,Chico,95926,530-891-1777,Public - Call ahead,Dealership business hours,,3,1,,Non-Networked,200-9,39.756332,-121.843715,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Puente Hills Nissan,17320 E Gale Ave,City of Industry,91748,,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,GPS,33.997621,-117.928216,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Lithia Nissan - Clovis,370 W Herndon Ave,Clovis,93612,559-297-6919,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,GPS,36.836818,-119.717629,2011-03-15,J1772,CAR_DEALER,Free
Nissan of Serramonte,1500 Collins Ave,Colma,94014,650-550-7200,Public - Call ahead,Dealership business hours,,1,1,,Non-Networked,200-8,37.671267,-122.463541,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
Autocom Nissan - Concord,1290 Concord Ave,Concord,94520,925-676-4400,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-8,37.980192,-122.050128,2011-03-15,J1772,CAR_DEALER,Free
Larry H Miller Nissan,2575 Wardlow Rd,Corona,92882,951-735-3360,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,200-9,33.88309,-117.615292,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
Orange Coast Nissan,2850 Harbor Blvd,Costa Mesa,92626,714-681-1738,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,200-9,33.675397,-117.918684,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Hanlees Nissan,5009 Chiles Rd,Davis,95618,530-231-3000,Public - Call ahead,Dealership business hours,,1,1,,Non-Networked,200-9,38.55252,-121.691555,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
Downey Nissan,7321 Firestone Blvd,Downey,90241,562-334-1090,Public - Call ahead,Dealership business hours,,4,2,,Non-Networked,200-8,33.9473,-118.151166,2011-03-15,J1772 J1772COMBO,CAR_DEALER,Free
Nissan of Duarte,1434 Buena Vista St,Duarte,91010,626-305-3000,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,GPS,34.136553,-117.975944,2011-03-15,J1772,CAR_DEALER,Free
Mossy Nissan - El Cajon,1170 W Main St,El Cajon,92020,619-588-0500,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-9,32.795896,-116.976156,2011-03-15,J1772,CAR_DEALER,Free
Ross Nissan El Monte,3428 N Peck Rd,El Monte,91731,800-859-8445,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,200-9,34.069536,-118.026911,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Nissan of Elk Grove,8590 Laguna Grove Dr,Elk Grove,95757,916-405-5000,Public - Call ahead,Dealership business hours,,4,2,,Non-Networked,200-9,38.402217,-121.385527,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
Mossy Nissan - Escondido,1546 Auto Park Way,Escondido,92029,760-746-5050,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-9,33.116492,-117.106837,2011-03-15,J1772,CAR_DEALER,Free
McCrea Nissan,601 7th St,Eureka,95501,707-442-1741,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-9,40.800562,-124.164405,2011-03-15,J1772,CAR_DEALER,Free
Future Nissan of Folsom,12610 Auto Mall Cir,Folsom,95630,916-608-5300,Public - Call ahead,Dealership business hours,,3,1,,Non-Networked,GPS,38.634132,-121.204871,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Fontana Nissan,16444 S Highland Ave,Fontana,92336,909-574-2288,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,200-9,34.135345,-117.445732,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Premier Nissan of Fremont,5701 Cushing Pkwy,Fremont,94538,510-668-8700,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,GPS,37.489389,-121.9576,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
Lithia Nissan - Fresno,5580 N Blackstone Ave,Fresno,93710,559-435-3500,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-9,36.818622,-119.789796,2011-03-15,J1772,CAR_DEALER,Free
Garden Grove Nissan,9222 Trask Ave,Garden Grove,92844,888-720-5391,Public - Call ahead,Dealership business hours,,2,1,,Non-Networked,200-9,33.766376,-117.968337,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Gardena Nissan,1670 W Redondo Beach Blvd,Gardena,90247,310-532-1600,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-8,33.889201,-118.307028,2011-03-15,J1772,CAR_DEALER,Free
South County Nissan,400 Automall Dr,Gilroy,95020,408-842-1777,Public - Call ahead,Dealership business hours,,1,,,Non-Networked,200-9,36.996869,-121.558573,2011-03-15,J1772,CAR_DEALER,Free
Glendale Nissan,727 S Brand Blvd,Glendale,91204,,Public - Call ahead,Dealership business hours; contact 630-469-6100 for more information,,1,1,,Non-Networked,200-9,34.137054,-118.25536,2011-03-15,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
Santa Barbara Nissan,425 S Kellogg Ave,Goleta,93117,805-967-1130,Public - Call ahead,Dealership business hours,,3,1,,Non-Networked,200-9,34.43427,-119.820934,2011-03-15,CHADEMO J1772,CAR_DEALER,Free
